	id	username	text	retweets	geo
81	1164237182372143104	Apeaga_10	Comprei sapatos pra antonella na @dafiti_brasil no sábado a tarde e acabei de receber eles aqui em casa. Satisfação total ! Isso que o prazo era pra quinta ou sexta feira.	0	
82	1164230478364368897	erlaanne	Fui comprar um sapato na Dafiti, aí como os cartões já são cadastrados eu confirmei a compra no de mãe sem prestar atenção. Ela me ligou virada, foi mais ligeira que o site pra confirmar a compra.	0	
83	1163885488882814977	zainshutup	2 horas namorando sapato e bolsa na dafiti carrinho deu mais de mil reais os favoritos então nem se fala.....	0	
84	1163237469581709319	throneofash	falei que ia economizar mas acabei de comprar 5 pares de sapatos na dafiti	0	
85	1163175830228471808	churiana	Fui olhar meu Facebook e os anúncios são sapatos (Insecta e um outro que não conheço), ANPOF, Dropbox, pet shop, maquininha de pagamento, uma revista chamada qb, meias e almofadas personalizadas, Renner, Soundfly, supermercado pão de açúcar e Dafiti...	0	
86	1163145024349069312	Ooh_zeh	acabei de comprar sapatos da Dafiti 	0	
87	1162751415107952640	agathaayla_	minha mãe esses dias comprou uma bota pela internet sem querer, aí ontem tava vendo mochila pra carregar cachorro e comprou sem ver também, aí foi comprar uns sapatos na Dafiti e comprou o mesmo modelo duas vezes sem perceber kkkkkkk alguém tira a internet dela	0	
88	1162221564479229952	Hello_nessinha	E o meu hobby que é ficar entrando e saindo do app da @dafiti_brasil sem comprar nada, só olhando as promoções e imaginando quando eu tiver um trabalho vou torrar todo meu money em roupas, bolsas e sapatos. Por que na dafit tem varios cupons de descontos 	0	
89	1162141589071962112	aninhamafra_	ontem eu passei literalmente a tarde INTEIRA procurando roupa e sapato na dafiti e adivinha? Tudo o que eu gostei estava esgotado! white problem do dia de alguém que calça 34 e veste p 	0	
90	1162118230267322372	hippiefromearth	comprei uma calça e um sapato q k devia simplesmente pq a dafiti ta demorando séculos	0	
91	1161759586535260162	GafanhotoApp	[dafiti] Sapato Couro West Coast Liso Marrom por R$94,99 https://gafanho.to/oferta/sapato-couro-west-coast-liso-marrom	0	
92	1161753559291105282	GafanhotoApp	[dafiti] Dafiti | Sapato Couro West Coast Liso Marrom | R$94,99 | 2x https://gafanho.to/oferta/dafiti-sapato-couro-west-coast-liso-marrom	0	
93	1161753192377593856	hardmob_promo	Dafiti | Sapato Couro West Coast Liso Marrom | R$94,99 | 2x https://www.hardmob.com.br/threads/724230-Dafiti-Sapato-Couro-West-Coast-Liso-Marrom-R-9499-2x	0	
94	1161451924048220161	dougcosta_27	Agora sapatos de modo geral, a dafiti é uma boa opção	0	
95	1160242209255563265	amayarapb	10min esperando e eu comprei 3 sapatos na Dafiti 	0	
96	1160010024523042816	LeoSturmer	Amiga nunca mais compre sapatos na dafiti	0	
97	1159852477220626432	marianadniela	e eu que comprei 4 sapatos na dafiti e ta chegando um por dia	0	
98	1159528626309804034	amandaalima__	Fui comprar 2 calçados na Dafiti e o frete saiu mais caro que os sapatos kkkkk ata que vou comprar	0	
99	1159296262434369536	viajesdeaventur	Calçados e Moda Online - Sapatos, Roupas, Bolsas e Mais | Dafiti-Compre calçados e moda online na Dafiti. Aqui você encontra as melhores marcas de sapatos, roupas, bolsas, acessórios, perfumes, produtos de beleza e decoração. Aproveite! https://bit.ly/31tvQsX	0	
